"cpg_grouping","tile_methode","model_id","dataset","model","organ","rsq_threshold","filter","epse","mae","r_squared_value"
"Point","Point",93,"Validation","Lasso","Fin_clip_caudal","r2_0.3","min20",1,11.3213611776817,0.57017660142082
"Point","Point",94,"Train","Lasso","Fin_clip_caudal","r2_0.3","min5",1,2.69904918222761,0.865113141616786
"Point","Point",94,"Validation","Lasso","Fin_clip_caudal","r2_0.3","min5",1,7.35529837066958,0.635318401983386
"Point","Point",95,"Train","Lasso","Fin_clip_caudal","r2_0.3","nofilter",1,2.35809008647102,0.899702636037635
"Point","Point",95,"Validation","Lasso","Fin_clip_caudal","r2_0.3","nofilter",1,10.6867188632671,0.671238491546782
"Point","Point",96,"Train","Lasso","Intestines","r2_0.05","min10",1,0.14448710424448,0.999583517814356
"Point","Point",96,"Validation","Lasso","Intestines","r2_0.05","min10",1,6.94737483932098,0.698380206031799
"Point","Point",97,"Train","Lasso","Intestines","r2_0.05","min20",1,1.33317055253681,0.969475506544354
"Point","Point",97,"Validation","Lasso","Intestines","r2_0.05","min20",1,6.26667599389607,0.490998904976611
"Point","Point",98,"Train","Lasso","Intestines","r2_0.05","min5",1,1.4481314641908,0.981337268546414
"Point","Point",98,"Validation","Lasso","Intestines","r2_0.05","min5",1,3.96049633561852,0.743311504471467
"Point","Point",99,"Train","Lasso","Intestines","r2_0.05","nofilter",1,0.461705155331191,0.997713221589959
"Point","Point",99,"Validation","Lasso","Intestines","r2_0.05","nofilter",1,7.98912765174589,0.583795989859208
"Point","Point",100,"Train","Lasso","Intestines","r2_0.1","min10",1,4.96998542683323,0.490060824078953
"Point","Point",100,"Validation","Lasso","Intestines","r2_0.1","min10",1,4.49303664505362,0.597607983992573
"Point","Point",101,"Train","Lasso","Intestines","r2_0.1","min20",1,4.9763350227377,0.415277851733122
"Point","Point",101,"Validation","Lasso","Intestines","r2_0.1","min20",1,4.29766341121983,0.576401129985809
"Point","Point",102,"Train","Lasso","Intestines","r2_0.1","min5",1,0.99785576237261,0.993332325322228
"Point","Point",102,"Validation","Lasso","Intestines","r2_0.1","min5",1,7.75133488555015,0.371728582243163
